officer_name,officer_id,pve_captain,pve_bridge,pve_below_decks,pvp_captain,pvp_bridge,pvp_below_decks
718.0,718-0-2509d7,,,,,,
Academy Doctor,academy-doctor-bc8e69,,,,,,
Ahvix,ahvix-f90184,,,,,,
Airiam,airiam-9265fc,x,,,x,,
Alok Sahar,alok-sahar-4d1370,,,,,,x
Alonzo Freeman,alonzo-freeman-ef0f9b,,,,,,x
Andy Billups,andy-billups-c27ba7,,,,,,
Annorax,annorax-830d35,,,,,,
Arix,arix-b3d602,,,,,,
Arkady,arkady-94c81b,,,,,,
Arrock,arrock-0791b2,,,,,,
Azetbur,azetbur-7eff22,,,,,,
B'Elanna Torres,b-elanna-torres-75cf02,,,,,,x
B'Etor,b-etor-8fc426,,,,,,
Ba'el,ba-el-91d122,,,,,,
Badgey,badgey-13df33,,,,,,
Barot,barot-2d7be0,,,,,,
Beckett Mariner,beckett-mariner-d93865,,,,,,
Benjamin Sisko,benjamin-sisko-5c51f2,,,,,,
Beverly Crusher,beverly-crusher-74b2d7,,,,,,
Black Ops Chapel,black-ops-chapel-814fe8,,,,,,
Black Ops M'Benga,black-ops-m-benga-e23e3a,,,,,,x
Bones,bones-ddc8a9,,,,,,
Borg Queen,borg-queen-c8e67d,,,,,,
Brad Boimler,brad-boimler-ee5262,,,,,,
Byr Ch'Kelrer,byr-ch-kelrer-090eff,,,,,,x
Cadet Kirk,cadet-kirk-a80563,,,,,,
Cadet McCoy,cadet-mccoy-13d460,,,,,,
Cadet Scotty,cadet-scotty-b342ae,,,,,,
Cadet Sulu,cadet-sulu-784421,,,,,,
Cadet Uhura,cadet-uhura-3ef15c,,,,,,
Caleb Mir,caleb-mir-3588ed,,,,,,x
Cap. Tilly,cap-tilly-070cc9,,,,,,
Carol,carol-755a05,,,,,,
Carol Freeman,carol-freeman-a46be4,,,,,,
Cath,cath-f0e149,,,,,,
Chakotay,chakotay-a1f5df,,,,,,
Chancellor Ake,chancellor-ake-225a78,,,,,,
Chang,chang-ecc238,,,,,,
Changeling Kira,changeling-kira-666ebe,,,,,,
Charvanek,charvanek-0f1b5c,,,,,,
Chen,chen-cdb1ca,,,,,,
Culber,culber-b3e4a0,,,,,,
D'Jaoki,d-jaoki-baa18f,,,,,,
D'Vana Tendi,d-vana-tendi-9fabf0,,,,,,
Dajash Tolra,dajash-tolra-1e809f,,,,,,
Damar,damar-796eb0,,,,,,
Dane,dane-4f7fc1,,,,,,x
Darwin,darwin-b8dc0a,,,,,,
Data,data-d20ef8,,,,,,
Deanna Troi,deanna-troi-57341d,,,,,,
Decius,decius-8fce68,,,,,,
Deidamia,deidamia-50f1da,,,,,,
Demarco,demarco-7f2d86,,,,,,
Dezoc,dezoc-381416,,,,,,
Dixon Hill,dixon-hill-b7ea10,,,,,,x
Doctor T'Ana,doctor-t-ana-b98f82,,,,,,
Domitia,domitia-2e4a05,,,,,,
Dupont,dupont-5deb80,,,,,,
Eight Of Eleven,eight-of-eleven-cb5f3c,,,,,,
Eleven Of Eleven,eleven-of-eleven-ac168c,,,,,,
Emp. Georgiou,emp-georgiou-1564b5,,,,,,
Ent-E Data,ent-e-data-871245,,,,,,x
Ent-E Picard,ent-e-picard-556227,,,,,,
Ent-E Riker,ent-e-riker-516b8d,,,,,,
Ent-E Troi,ent-e-troi-46cdc3,,,,,,x
Eurydice,eurydice-18b643,,,,,,
Ezri Dax,ezri-dax-bb0892,,,,,,
FCM Data,fcm-data-3b9e4d,,,,,,
Fess,fess-7afd43,,,,,,
Five Of Eleven,five-of-eleven-d9aa11,,,,,,
Four Of Eleven,four-of-eleven-15084c,,,,,,
French Marshal Q,french-marshal-q-1f0a28,,,,,,
Gaila,gaila-3d387a,,,,,,
Garak,garak-771862,,,,,,
Genesis Lythe,genesis-lythe-82d460,,,,,,x
Geordi La Forge,geordi-la-forge-914cec,,,,,,
Georgiou,georgiou-d2bdef,,,,,,
Ghalenar,ghalenar-69ddad,,,,,,x
Ghrush,ghrush-6e635b,,,,,,
Gonzales,gonzales-de640c,,,,,,
Goon,goon-891942,,,,,,
Gorkon,gorkon-b8d2e7,,,,,,
Gossa,gossa-dafefb,,,,,,
Gowron,gowron-27ac30,,,,,,
Gul Dukat,gul-dukat-70e9d7,,,,,,
Hadley,hadley-ae14a1,,,,,,
Harrison,harrison-56cc6c,,,,,,
Harry Kim,harry-kim-a79fdf,,,,,,x
Harry Mudd,harry-mudd-374d5f,,,,,,
Helvia,helvia-70a338,,,,,,
Hendorff,hendorff-549c65,,,,,,
