,,,,,,,,,,,,,,,,,,,,
,,,   Rarity,OfficerName,,PvP Space,PvP Station,Red Moving Space,Waves,QTrial,Mission Bosses,Group Armadas,Solo Armadas,Invading Entities,Assaults,Outpost Armadas,Outpost Retaliation Attackers,Reason,Loot,Utility
,,,   E,KIRK,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasMorale,➖,➖
,,,   E,KIRK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,SPOCK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,SPOCK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasMorale,➖,➖
,,,   R,BONES,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   R,BONES,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   U,SCOTTY,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,SCOTTY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,SULU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,SULU,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,"SelfHasMorale, ModuleEnergy",➖,➖
,,,   U,ARKADY,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,ARKADY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,UHURA,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,UHURA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,GORKON,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,GORKON,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
