,,,,RC - Release Candidate · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β · β,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rarity,Art,OfficerName,AbilityType,PvP Space,PvP Station,Red Moving Space,Waves,QTrial,Mission Bosses,Group Armadas,Solo Armadas,Invading Entities,Assaults,Outpost Armadas,Outpost Retaliation Attackers,Reason,Loot,Utility,Officer Synergy,Ability Modifier,Ability Attributes,Ability Conditions,Ability Trigger,AbilityTarget,Ability Operation,Ability Description,Ability Description Different,Ability Description Short,Ability Short Different,Explanation,Suggested Description,Ability Chances,Ability Values,Ability Has Chance,Ability Show Percentage,ID,AbilityID,Order
E,,KIRK,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,SelfHasMorale,➖,➖,ENTERPRISE CREW,OfficerStatAll,num_rounds=1,SelfHasMorale,RoundStart,SelfAll,MultiplyAdd,"As long as the ship has Morale, Kirk gives all Officers on the ship a bonus of X to all their stats.",False,X to all Officer stats when the ship has Morale,,,,2001-01-01 00:00:00,"0.4, 0.1, 0.2",False,True,1,4102716881,1
E,,KIRK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,➖,➖,ENTERPRISE CREW,AddState,"num_rounds=2, state=8",,RoundStart,SelfShip,Set,"At the beginning of each round, Kirk has a X chance of inspiring Morale to the ship for 2 rounds.",False,X chance to inspire Morale to his ship each round for 2 rounds,,,,"0.5, 0.6, 0.7, 0.75, 0.8","0.5, 0.6, 0.7, 0.75, 0.8",True,True,1,2068068163,2
R,,SPOCK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,➖,➖,ENTERPRISE CREW,Accuracy,,,RoundStart,SelfShip,MultiplyAdd,Spock increases the Accuracy of the ship by X at the beginning of each Round in combat.,False,+X to the ship's Accuracy at the start of each Round,,,,2001-01-01 00:00:00,"0.15, 0.05, 0.1",False,True,2,869555258,3
R,,SPOCK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,SelfHasMorale,➖,➖,ENTERPRISE CREW,ShieldHPRepair,officer_stat=2,SelfHasMorale,RoundStart,SelfShip,MultiplyBaseAdd,"While the ship has Morale, Spock restores Shield Health to an amount equal to X of the Defense of the Officers on the ship.",False,X of total Officer Defense on the ship restored to the Shield when having Morale,,,,"1, 1, 1, 1, 1","0.25, 0.5, 1, 4, 7.5",False,True,2,2500262645,4
R,,BONES,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,target level 70 or under,➖,➖,ENTERPRISE CREW,OffAbilityEffect,max_level=70,TargetMaxLevel,CombatStart,SelfBridge,MultiplyAdd,McCoy gives a bonus of X to all the Officer Abilities of the Officers on the bridge during combat. Works against Hostiles of level 70 and under.,False,+X bonus to Officer Abilities during combat,,,,2001-01-01 00:00:00,"0.2, 0.07, 0.15",False,True,3,188993107,5
R,,BONES,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,target level 70 or under,➖,➖,ENTERPRISE CREW,OfficerStatDefense,max_level=70,TargetMaxLevel,HitTaken,SelfBridge,MultiplyAdd,"Every time the ship gets hit by a weapon attack, McCoy increases the Defense of all the officers on the Bridge by X. Works against Hostiles of level 70 and under. -- (Weapons with multiple shots will only trigger this ability once per attack.)",False,+X to the Defense of the Bridge Officers when hit,,,,"1, 1, 1, 1, 1","0.1, 0.15, 0.2, 0.25, 0.3",False,True,3,1520108895,6
U,,SCOTTY,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,,➖,✅,ENTERPRISE CREW,RepairTime,,,ShipLaunched,SelfShip,MultiplyAdd,Scotty reduces the time needed to repair the ship by X.,False,+X to this ship's repair speed,,,,2001-01-01 00:00:00,"0.1, 0.05, 0.1",False,True,4,233399498,7
U,,SCOTTY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,➖,➖,ENTERPRISE CREW,HullHPMax,,,ShipLaunched,SelfShip,MultiplyAdd,Scotty increases the total Hull Health of the ship by X of its original Hull Health.,False,+X to this ship's Hull Health,,,,"1, 1, 1, 1, 1","0.1, 0.12, 0.14, 0.16, 0.2",False,True,4,1704676580,8
U,,SULU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,➖,➖,ENTERPRISE CREW,AddState,"num_rounds=2, state=8",,CriticalShotTaken,SelfShip,Set,"When the ship is getting hit by a Critical Hit, Sulu has a X chance of inspiring Morale to the ship for one round.",False,X chance to Inspire Morale after being hit by a critical hit,,,,"0.4, 0.1, 0.2",2001-01-01 00:00:00,True,True,5,3346498472,9
U,,SULU,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,"SelfHasMorale, ModuleEnergy",➖,➖,ENTERPRISE CREW,AllDamage,num_rounds=1,"SelfHasMorale, ModuleEnergy",RoundStart,SelfShip,MultiplyAdd,"When the ship has Morale, Sulu increases the total damage made by Energy Weapons by X.",False,+X to Energy Damage when the ship has Morale,,,,"1, 1, 1, 1, 1","0.15, 0.2, 0.25, 0.3, 0.4",False,True,5,1840304835,10
U,,ARKADY,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,➖,➖,ENTERPRISE CREW,AddState,"num_rounds=3, state=8",,ShieldsDepleted,SelfShip,Set,"When the shield is depleted, Arkady has a X chance of inspiring Morale to the ship for 3 rounds.",False,X chance to inspire Morale for 3 rounds when the Shield is depleted,,,,"0.5, 0.1, 0.2",2001-01-01 00:00:00,True,True,6,4151870740,11
