Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
1,KIRK,CM,ENTERPRISE CREW,OfficerStatAll,SelfHasMorale,RoundStart,SelfAll,MultiplyAdd,num_rounds=1,"As long as the ship has Morale, Kirk gives all Officers on the ship a bonus of X to all their stats.",X to all Officer stats when the ship has Morale,"1.0, 1.0, 1.0","0.4, 0.1, 0.2",FALSE,TRUE,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,➖,OfficerStatAll,➖,OfficerStatAll,4102716881,988947581,1,Epic,Morale,,SelfHasMorale,1,1,1,,,0.4,0.1,0.2,,,,
2,KIRK,OA,ENTERPRISE CREW,AddState,,RoundStart,SelfShip,Set,"num_rounds=2, state=8","At the beginning of each round, Kirk has a X chance of inspiring Morale to the ship for 2 rounds.",X chance to inspire Morale to his ship each round for 2 rounds,"0.5, 0.6, 0.7, 0.75, 0.8","0.5, 0.6, 0.7, 0.75, 0.8",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,2068068163,988947581,1,Epic,,,,0.5,0.6,0.7,0.75,0.8,0.5,0.6,0.7,0.75,0.8,,
3,SPOCK,CM,ENTERPRISE CREW,Accuracy,,RoundStart,SelfShip,MultiplyAdd,,Spock increases the Accuracy of the ship by X at the beginning of each Round in combat.,+X to the ship's Accuracy at the start of each Round,"1.0, 1.0, 1.0","0.15, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,Accuracy,➖,Accuracy,869555258,766809588,2,Rare,,,,1,1,1,,,0.15,0.05,0.1,,,,
4,SPOCK,OA,ENTERPRISE CREW,ShieldHPRepair,SelfHasMorale,RoundStart,SelfShip,MultiplyBaseAdd,officer_stat=2,"While the ship has Morale, Spock restores Shield Health to an amount equal to X of the Defense of the Officers on the ship.",X of total Officer Defense on the ship restored to the Shield when having Morale,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.5, 1.0, 4.0, 7.5",FALSE,TRUE,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,➖,ShieldHPRepair,➖,ShieldHPRepair,2500262645,766809588,2,Rare,Morale,,SelfHasMorale,1,1,1,1,1,0.25,0.5,1,4,7.5,,
5,BONES,CM,ENTERPRISE CREW,OffAbilityEffect,TargetMaxLevel,CombatStart,SelfBridge,MultiplyAdd,max_level=70,McCoy gives a bonus of X to all the Officer Abilities of the Officers on the bridge during combat. Works against Hostiles of level 70 and under.,+X bonus to Officer Abilities during combat,"1.0, 1.0, 1.0","0.2, 0.07, 0.15",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,OffAbilityEffect,➖,OffAbilityEffect,188993107,3923643019,3,Rare,,,target level 70 or under,1,1,1,,,0.2,0.07,0.15,,,,
6,BONES,OA,ENTERPRISE CREW,OfficerStatDefense,TargetMaxLevel,HitTaken,SelfBridge,MultiplyAdd,max_level=70,"Every time the ship gets hit by a weapon attack, McCoy increases the Defense of all the officers on the Bridge by X. Works against Hostiles of level 70 and under. -- (Weapons with multiple shots will only trigger this ability once per attack.)",+X to the Defense of the Bridge Officers when hit,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.3",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,OfficerStatDefense,➖,OfficerStatDefense,1520108895,3923643019,3,Rare,,,target level 70 or under,1,1,1,1,1,0.1,0.15,0.2,0.25,0.3,,
7,SCOTTY,CM,ENTERPRISE CREW,RepairTime,,ShipLaunched,SelfShip,MultiplyAdd,,Scotty reduces the time needed to repair the ship by X.,+X to this ship's repair speed,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,✅,,233399498,3155244352,4,Uncommon,,,,1,1,1,,,0.1,0.05,0.1,,,,
8,SCOTTY,OA,ENTERPRISE CREW,HullHPMax,,ShipLaunched,SelfShip,MultiplyAdd,,Scotty increases the total Hull Health of the ship by X of its original Hull Health.,+X to this ship's Hull Health,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.12, 0.14, 0.16, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,HullHPMax,➖,HullHPMax,1704676580,3155244352,4,Uncommon,,,,1,1,1,1,1,0.1,0.12,0.14,0.16,0.2,,
9,SULU,CM,ENTERPRISE CREW,AddState,,CriticalShotTaken,SelfShip,Set,"num_rounds=2, state=8","When the ship is getting hit by a Critical Hit, Sulu has a X chance of inspiring Morale to the ship for one round.",X chance to Inspire Morale after being hit by a critical hit,"0.4, 0.1, 0.2","1.0, 1.0, 1.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,3346498472,2520801863,5,Uncommon,,,,0.4,0.1,0.2,,,1,1,1,,,,
10,SULU,OA,ENTERPRISE CREW,AllDamage,"SelfHasMorale, ModuleEnergy",RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"When the ship has Morale, Sulu increases the total damage made by Energy Weapons by X.",+X to Energy Damage when the ship has Morale,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.25, 0.3, 0.4",FALSE,TRUE,✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",✴️,"SelfHasMorale, ModuleEnergy",➖,AllDamage,➖,AllDamage,1840304835,2520801863,5,Uncommon,Morale,,"SelfHasMorale, ModuleEnergy",1,1,1,1,1,0.15,0.2,0.25,0.3,0.4,,
