Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
HiggsBozo	60	DEFEAT	U.S.S. ENTERPRISE-D	55	2551528704	7	Dajash Tolra	Toli	Byr Ch'Kelrer	1995070449	0	2170702380	2170702380	Emissius	2026-06-20 1:19:52 AM
Xindi-Aquatic Cruiser	51	VICTORY	Xindi-Aquatic Cruiser	51	2351456845824	0	Xindi-Aquatic	--	--	2573289139061	2572758641684	1715526092707	1714713558750	Emissius	2026-06-20 1:19:52 AM

Reward Name	Count

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	395817376	148547056	2007164160	Galaxy Class	Safe Cracker	No Locked Doors	The Looking Glass	Excessive Measures	6.5	335580384	3245484	3245484	38715557	0.4	3.19	6.5	1928959	25826336	1954117	6.5	2019258028	1995070449	207	1262	232.32	2653410	0	1	NO	NO
Enemy Fleet 1	207045492736	3616020	2144407650304	Strength of the Ibix---Be Like Water	--	--	--	--	0	207043264512	476450	88360	176720	0.22	2.91	0	37337	37337	648530	0	1715526041600	2573289127936	25	2	2	0	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Mitigated Critical Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	1	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.6	Power of the Creator	V'ger Ilia	--	--	--
1	2	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.45	Three Shots of Something...	Enterprise-E Troi	--	--	--
1	3	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	4	War's Almost Over	Tom Paris	--	--	--
1	4	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.25	Protocol 12	SNW Nurse Chapel	--	--	--
1	5	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	1	Knock it Down	B'Elanna Torres	--	--	--
1	6	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	1	To the Journey!	Harry Kim	--	--	--
1	7	Forbidden Tech Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	ForbiddenTechAbility	0.17	--	Quantum Slipstream Drive	--	--	--
1	8	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	242074	0	646338	0	19365	907777	0	0	--	--	--	--	--	--	--
1	9	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	233262	0	622808	0	18660	874730	0	0	--	--	--	--	--	--	--
1	10	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	238518	0	636842	0	19081	894441	0	0	--	--	--	--	--	--	--
