Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
HiggsBozo	59	VICTORY	SS REVENANT	30	178630288	0	Dajash Tolra	Toli	Byr Ch'Kelrer	167923600	17450848	101048709	0	Mehruunahd	2026-04-05 2:04:41 AM
Borg Type 03.1	52	DEFEAT	Borg Type 03.1	52	22871967531008	0	Borg Drone	--	--	36595041106340	0	9148760276585	0	Mehruunahd	2026-04-05 2:04:41 AM

Reward Name	Count
Borg Type 03 Solo Armada Credits	86728
Mega Chest	1

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	4865797	39278336	134486160	Laid to Rest---Phantom's Tithe---Collective's Bane	Safe Cracker	No Locked Doors	The Looking Glass	Excessive Measures	5	4277574	517000	56852	85292	0.22	2.95	5	753528	502370	6599769	5	101048709	167923600	241	441	269.01	7169250	0	1	NO	NO
Enemy Fleet 1	55041436	12429795	22871900422144	Defense Protocol β---Q Juniors Twist---Defense Protocol α	--	--	--	--	0	51903104	523056	523056	523056	0.1	1.5	0	828653	828653	828653	0	9148760588288	36595042353152	80	2	2	0	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	1	Officer Ability	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	SS REVENANT	NO	--	--	--	--	--	--	--	--	--	--	Officer	3	War's Almost Over	Tom Paris	--	--	--
1	2	Officer Ability	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	SS REVENANT	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	Knock it Down	B'Elanna Torres	--	--	--
1	3	Officer Ability	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	SS REVENANT	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	Now We're Cooking	Neelix	--	--	--
1	4	Officer Ability	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	SS REVENANT	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	The Looking Glass	Toli	--	--	--
1	5	Attack	Borg Type 03.1	--	Borg Type 03.1	NO	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	NO	282091	1285080	3874395	0	0	5441566	0	--	--	--	--	--	--	--
1	6	Attack	Borg Type 03.1	--	Borg Type 03.1	NO	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	NO	284779	1297325	3911313	0	0	5493417	0	--	--	--	--	--	--	--
1	7	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	966243520	3425772544	5288380416	0	11978206208	9119411392	12539191296	--	--	--	--	--	--	--
1	8	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	6923959808	24548585472	37895761920	0	85834072064	65348369920	89854009344	--	--	--	--	--	--	--
1	9	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	901757376	3197139712	4935438848	0	11178791936	8510790336	11702337536	--	--	--	--	--	--	--
1	10	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	953121152	3379247872	5216560128	0	11815532544	8995562624	12368899072	--	--	--	--	--	--	--
1	11	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	6648642048	23572457472	36388909056	0	82421047296	62749913600	86281142272	--	--	--	--	--	--	--
1	12	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	949982080	3368118272	5199378944	0	11776618496	8965936512	12328161280	--	--	--	--	--	--	--
1	13	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	880791936	3122807808	4820692480	0	10918890496	8312918912	11430263808	--	--	--	--	--	--	--
1	14	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	7054950400	25013006336	38612688896	0	87457923072	66584662016	91553906688	--	--	--	--	--	--	--
1	15	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	859108736	3045931008	4702017024	0	10650090496	8108272512	11148874752	--	--	--	--	--	--	--
1	16	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	829528640	2941056000	4540121600	0	10283396096	7829095488	10765006848	--	--	--	--	--	--	--
1	17	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	6060963840	21488873472	33172467712	0	75135795200	57203406848	78654693376	--	--	--	--	--	--	--
1	18	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	6213618688	22030102528	34007967744	0	77028204544	58644161536	80635731968	--	--	--	--	--	--	--
1	19	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	5956413440	21118193664	32600250368	0	73839714304	56216662016	77297909760	--	--	--	--	--	--	--
1	20	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	6062144000	21493057536	33178927104	0	75150426112	57214550528	78670004224	--	--	--	--	--	--	--
1	21	Officer Ability	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	SS REVENANT	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	22	Charging Weapons	Borg Type 03.1	--	Borg Type 03.1	NO	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	100
1	23	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1714921728	6080176640	9340412928	0	21259325440	16166246144	22228590592	--	--	--	--	--	--	--
1	24	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1991233024	7059826176	10845357056	0	24684666880	18770982912	25810100224	--	--	--	--	--	--	--
1	25	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	2029990784	7197240320	11056453632	0	25165135872	19136345984	26312474624	--	--	--	--	--	--	--
1	26	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1943320320	6889953792	10584397824	0	24090707968	18319317248	25189062656	--	--	--	--	--	--	--
1	27	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	13263505408	47025156096	72240390144	0	164423352320	125032585216	171919818752	--	--	--	--	--	--	--
1	28	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1772081152	6282833408	9651735552	0	21967912960	16705079808	22969483264	--	--	--	--	--	--	--
1	29	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1717371520	6088862720	9353755648	0	21289695232	16189342336	22260342784	--	--	--	--	--	--	--
1	30	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1916997120	6796626432	10441027584	0	23764389888	18071175168	24847865856	--	--	--	--	--	--	--
1	31	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	12288844800	43569541120	66931851264	0	152340807680	115844649984	159286394880	--	--	--	--	--	--	--
1	32	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	13445851136	47671652352	73233547264	0	166683836416	126751528960	174283358208	--	--	--	--	--	--	--
1	33	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	YES	13576204288	48133816320	73943523328	0	168299790336	127980343296	175972990976	--	--	--	--	--	--	--
1	34	Attack	HiggsBozo	INFINITE	SS REVENANT	YES	Borg Type 03.1	--	Borg Type 03.1	NO	--	--	NO	1734342528	6149032448	9446189056	0	21500080128	16349323648	22480320512	--	--	--	--	--	--	--
1	35	Attack	Borg Type 03.1	--	Borg Type 03.1	NO	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	NO	164746	750509	2262714	0	0	3177969	0	--	--	--	--	--	--	--
1	36	Attack	Borg Type 03.1	--	Borg Type 03.1	NO	HiggsBozo	INFINITE	SS REVENANT	YES	--	--	NO	166961	760601	2293138	0	0	3220700	0	--	--	--	--	--	--	--
