Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
HiggsBozo	60	VICTORY	U.S.S. ENTERPRISE-D	18	1068817920	89487	Annorax	Suder	Seska	801521886	651806474	3564875722	2655994177	Lecio	2026-04-11 3:38:57 AM
V'ger Hurak Honorguard ▶	59	DEFEAT	V'ger Hurak Honorguard	59	14437923840	0	Replicated Hurak Commander	--	--	14836533168	0	13813323984	0	Lecio	2026-04-11 3:38:57 AM

Reward Name	Count
5★ Broken Interceptor Parts	3150

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	161384016	86286616	821147264	Galaxy Class	Past, Present, and Future	Time is Patient	Silence Your Demons	Lone Operative	6.5	129983264	1659633	1659633	20121646	0.31	2.95	6.5	1009596	15223966	1023761	6.5	840772576	801521886	204	1034	174.41	1746110	0	1	NO	NO
Enemy Fleet 1	67386000	45609552	14324928512	Replicated Honorguard Apex---Replicated Counter-Intel---ship_ability_name_{0}	--	--	--	--	0	63047592	1381332	393936	393936	0.15	1.5	0	1534814	680434	6906662	0	13813323776	14836533248	80	2	2	0	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	1	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	Knock it Down	B'Elanna Torres	--	--	--
1	2	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.6	To the Journey!	Harry Kim	--	--	--
1	3	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.12	Lone Operative	Seska	--	--	--
1	4	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	1596091	7271082	2318219	10522288	320502	3404664	18623518	--	--	--	--	--	--	--
1	5	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	1613719	7351388	2343823	10638501	324042	3442267	18829206	--	--	--	--	--	--	--
1	6	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	YES	75306120	266994416	43043184	260485776	17021818	184895762	477955552	--	--	--	--	--	--	--
1	7	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	NO	6295561	22320628	3598393	21776508	1423017	15457213	39956894	--	--	--	--	--	--	--
1	8	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	YES	80748648	286290656	46154004	279311616	18252022	198258562	512498384	--	--	--	--	--	--	--
1	9	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	NO	6075347	21539864	3472523	21014780	1373241	14916527	38559228	--	--	--	--	--	--	--
1	10	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	YES	83148568	294799456	47525740	287612992	18794486	204150970	527730272	--	--	--	--	--	--	--
1	11	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	NO	5584459	19799446	3191943	19316786	1262283	13711273	35443644	--	--	--	--	--	--	--
1	12	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	2000	Time is Patient	Annorax	--	--	--
1	13	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	1395553	6357521	2262643	10270030	1214340	3323042	18177045	--	--	--	--	--	--	--
1	14	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	1476152	6724695	2393320	10863169	1284473	3514961	19226848	--	--	--	--	--	--	--
1	15	Charging Weapons	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	100
1	16	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	2000	Time is Patient	Annorax	--	--	--
1	17	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	4415475	20114940	7966642	35935448	6797580	11627523	63602562	--	--	--	--	--	--	--
1	18	Charging Weapons	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	100
1	19	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	2000	Time is Patient	Annorax	--	--	--
1	20	Attack	V'ger Hurak Honorguard ▶	--	V'ger Hurak Honorguard	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	3905245	17790564	7710785	34781340	8626055	11254095	61559894	--	--	--	--	--	--	--
2	22	battle_action_type_{0}	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	--	5472850	--	--	--	--
2	23	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	1	Knock it Down	B'Elanna Torres	--	--	--
2	24	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	0.6	To the Journey!	Harry Kim	--	--	--
2	25	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	Officer	2000	Time is Patient	Annorax	--	--	--
